workload,reactive_result,proactive_result,ocpdas_result,smooth_result
workload_1998-06-10,16,23,7,14
workload_1998-06-11,18,17,3,7
workload_1998-06-12,18,30,10,13
workload_1998-06-15,20,20,9,7
workload_1998-06-16,18,22,11,6
workload_1998-06-17,15,19,9,2
workload_1998-06-18,10,12,6,14
workload_1998-06-19,18,19,3,9
workload_1998-06-22,8,9,7,11
workload_1998-06-23,16,13,8,13
workload_1998-06-24,11,23,9,11
workload_1998-06-25,19,18,7,15
workload_1998-06-26,17,11,8,16
workload_1998-06-29,15,10,6,13
workload_1998-06-30,17,28,10,10
workload_1998-07-03,11,13,8,14
workload_1998-07-07,6,6,8,5
workload_1998-07-08,5,3,2,6
