workload,reactive_result,proactive_result,ocpdas_result
workload_1998-06-10,0.11808118081180811,0.07933579335793357,0.06457564575645756
workload_1998-06-11,0.09501187648456057,0.0665083135391924,0.08076009501187649
workload_1998-06-12,0.12479201331114809,0.12312811980033278,0.17304492512479203
workload_1998-06-15,0.06301824212271974,0.03150912106135987,0.06799336650082918
workload_1998-06-16,0.16904761904761906,0.1380952380952381,0.19285714285714287
workload_1998-06-17,0.14761904761904762,0.10238095238095238,0.1595238095238095
workload_1998-06-18,0.20476190476190476,0.1880952380952381,0.24523809523809523
workload_1998-06-19,0.27923627684964203,0.2911694510739857,0.27923627684964203
workload_1998-06-22,0.24047619047619048,0.2,0.24047619047619048
workload_1998-06-23,0.0958904109589041,0.0684931506849315,0.1095890410958904
workload_1998-06-24,0.17025440313111545,0.1487279843444227,0.2054794520547945
workload_1998-06-25,0.11328125,0.060546875,0.109375
workload_1998-06-26,0.058365758754863814,0.058365758754863814,0.054474708171206226
workload_1998-06-29,0.10526315789473684,0.07992202729044834,0.08382066276803118
workload_1998-06-30,0.08854166666666667,0.08159722222222222,0.04861111111111111
workload_1998-07-03,0.16015625,0.150390625,0.193359375
workload_1998-07-07,0.1033210332103321,0.08856088560885608,0.14391143911439114
workload_1998-07-08,0.14761904761904762,0.09047619047619047,0.1
